GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2019;41-Jährige;132060;161664;49404;32247;8008;25462;77552;19937;90641;207324;46715;10629;51384;25632;33287;25482
31.12.2019;42-Jährige;131277;160767;47962;31093;7896;24914;76575;19365;89999;207803;46295;10773;50193;24688;33040;24983
31.12.2019;43-Jährige;131733;159339;45750;28394;7940;24676;76671;16975;90438;208381;45747;10309;44668;22041;33381;22442
31.12.2019;44-Jährige;129347;156353;43608;27055;7871;23409;74722;16072;88302;203431;45050;10118;42618;21072;32645;21599
31.12.2019;45-Jährige;132301;158673;42519;26407;7699;23428;75982;15768;91105;206117;45419;10330;42123;21695;32610;22286
31.12.2019;46-Jährige;131494;157982;41179;26979;7782;22834;76197;16241;92897;208552;46390;10385;42470;22592;33749;23106
31.12.2019;47-Jährige;141772;170034;42689;29896;8224;23740;81291;17719;101419;225045;50494;11437;46506;25950;36665;25916
31.12.2019;48-Jährige;152155;183415;46872;34974;8783;25072;87631;20435;111402;245946;55135;12673;54184;30685;41097;29131
31.12.2019;49-Jährige;157959;190138;47361;35580;9107;25669;91444;20908;116564;256422;57734;13086;54119;30985;42867;29737
31.12.2019;50-Jährige;168962;204876;49390;36965;9740;26629;97678;21701;126324;280518;62542;14594;54457;32006;47543;30020
31.12.2019;51-Jährige;176161;213169;51658;39086;10302;28521;102234;23200;132447;293277;66098;15633;55371;32830;50424;30549
31.12.2019;52-Jährige;179588;217884;51920;41256;10348;28645;103653;24197;136489;299498;67759;16176;57214;34279;52252;31612
31.12.2019;53-Jährige;183113;218937;53926;44229;10665;28851;105478;26143;138623;306071;70330;16836;60493;35660;52463;33790
31.12.2019;54-Jährige;181855;216814;55392;46057;10688;27767;105423;27705;137046;304004;70352;17174;62869;37356;51589;34861
31.12.2019;55-Jährige;184138;219750;56109;47839;10561;28116;105842;29087;137831;307234;71748;17612;65391;38840;52016;36718
31.12.2019;56-Jährige;181261;216107;55763;49232;10304;26807;103650;30276;135381;300711;71587;17658;66116;40140;50406;37543
31.12.2019;57-Jährige;174879;208728;52893;48701;10095;24886;99275;30160;130481;287741;69583;17483;64899;39604;47851;37129
31.12.2019;58-Jährige;171154;204868;49976;48009;9521;23740;96290;30471;128862;281280;69063;17666;64764;39445;46572;38171
31.12.2019;59-Jährige;165549;195867;47783;45873;9290;22982;92810;29686;122768;274286;66594;16985;62060;38213;44285;36260
31.12.2019;60-Jährige;158172;188708;45594;44734;9042;21703;89427;28854;118832;265957;64088;17135;61432;37294;42909;36228
31.12.2019;61-Jährige;149751;178601;41642;40945;8661;20634;84544;27217;111509;251308;60591;16414;56653;34876;40194;33585
31.12.2019;62-Jährige;144569;172310;39813;39742;8590;19551;82050;26357;109102;244343;59616;15767;56272;34314;39029;33333
31.12.2019;63-Jährige;140217;164922;38888;39333;8099;18549;78663;26376;104208;234328;57108;15042;56972;34682;36719;33851
31.12.2019;64-Jährige;131995;154838;38230;39290;7849;17407;74892;26696;100121;223472;54863;14248;58865;35417;35715;33924
31.12.2019;65-Jährige;126817;150270;37491;38500;7571;16819;72870;26475;97601;217651;53495;14331;58121;34434;35351;33249
31.12.2019;66-Jährige;121137;143582;36400;37661;7260;15981;68898;25890;93820;205664;51777;13927;58120;34459;33647;32963
31.12.2019;67-Jährige;120201;143459;35691;36518;7163;16080;69276;24907;94027;202024;51113;13565;58861;33841;33359;32510
31.12.2019;68-Jährige;115952;137890;36012;35326;7209;15709;67654;23963;92179;194007;49720;13014;59752;32298;33247;32186
31.12.2019;69-Jährige;115719;138573;37228;32951;7142;16141;68899;22083;91538;192594;49927;13077;57014;31492;33360;30349
31.12.2019;70-Jährige;112928;134340;34590;27788;7157;16048;67887;18961;89879;190544;47779;13275;49525;27772;32907;26720
31.12.2019;71-Jährige;103209;126895;31472;23724;6588;15502;63291;16207;82435;172586;40758;11254;39485;23214;31946;22896
31.12.2019;72-Jährige;95245;122945;29326;22468;6266;14820;58794;14903;74514;157583;35849;9153;39089;22570;29335;21647
31.12.2019;73-Jährige;82281;107049;22613;15030;6092;13492;49697;9821;68550;142748;31652;7304;29069;17915;27276;17600
31.12.2019;74-Jährige;69848;85503;25171;17614;4776;12003;40914;10416;53543;118672;26236;6640;33891;18060;22150;16400
31.12.2019;75-Jährige;90000;109669;32697;25986;5893;14901;53934;15377;70883;151908;34015;8913;48790;24954;29006;23602
31.12.2019;76-Jährige;89871;108232;34368;27524;6083;14902;52702;16485;72108;150072;33429;8501;47690;25408;29653;23347
31.12.2019;77-Jährige;87350;103447;31739;26275;5971;14189;49343;15639;68769;143411;32097;8282;43560;24711;27996;21506
31.12.2019;78-Jährige;103357;123540;35973;31805;6559;15989;58196;19476;81846;167819;39154;10413;52896;29375;33097;26908
31.12.2019;79-Jährige;105651;128211;33527;31094;6701;16074;60714;19083;82999;176113;41276;10531;52942;29178;32565;28170
31.12.2019;80-Jährige;101485;123041;30518;29376;6276;14921;57567;18812;78928;168422;39277;10540;50103;27345;31194;26541
31.12.2019;81-Jährige;91152;106808;27552;25843;5883;13589;50813;16749;72474;153128;35231;9231;43770;23514;28107;22167
31.12.2019;82-Jährige;80987;93425;24641;22818;5191;12304;45225;14488;63630;137538;31544;8950;38331;20802;24704;19130
31.12.2019;83-Jährige;74070;83753;22344;21044;4795;11224;41404;13309;56940;125057;29033;8349;35492;18958;22023;17542
31.12.2019;84-Jährige;66281;74352;20166;19045;4156;10132;36675;12062;51111;112760;25896;7012;32812;17199;19490;15730
31.12.2019;85-Jährige;55576;63590;17492;16071;3582;8205;31429;10366;43086;97727;22001;5614;28034;14697;16217;13453
31.12.2019;86-Jährige;42589;48854;11473;11211;2527;5901;22982;7559;30888;70095;16378;4488;19969;10499;10985;9506
31.12.2019;87-Jährige;37817;43874;9791;10038;2214;5131;20386;6855;27673;63025;14543;4106;17353;9280;9511;8523
31.12.2019;88-Jährige;33961;38716;8909;8860;2000;4789;18438;5848;25379;56942;13218;3681;16124;8286;8816;7439
31.12.2019;89-Jährige;30738;34867;8250;8017;1849;4361;17294;5049;23340;52870;12149;3122;15174;7491;7795;6871
31.12.2019;90 Jahre und mehr;105482;120219;30091;25023;7049;17152;61826;15587;80919;179151;42762;10702;51595;24093;28816;22580
31.12.2019;Insgesamt;11100394;13124737;3669491;2521893;681202;1847253;6288080;1608138;7993608;17947221;4093903;986887;4071971;2194782;2903773;2133378
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2021
Stand: 08.01.2021 / 15:56:07
